기준역,호선,역번호,x,y,유사역_1,유사역_2,유사역_3
가락시장,3호선/8호선,340/2818,127.118077,37.492566,잠원,충정로(경기대입구),문래
가산디지털단지,7호선,2748,126.882656,37.480338,여의도,광화문(세종문화회관),삼성(무역센터)
강남,2호선,222,127.027912,37.49799,신사,논현,삼성(무역센터)
강남구청,7호선,2732,127.041255,37.517179,압구정,삼성(무역센터),청담
강동,5호선,2549,127.132481,37.535804,마포구청,장한평,답십리
강동구청,8호선,2813,127.120508,37.530341,홍제,증산(명지대앞),녹번
강변(동서울터미널),2호선,214,127.094681,37.535095,잠원,산성,홍제
강일,5호선,2562,127.17593,37.55749,상일동,남한산성입구(성남법원.검찰청),홍제
개롱,5호선,2559,127.13482,37.498079,우장산,중계,쌍문
개화산,5호선,2512,126.806171,37.572399,송정,신대방,장한평
거여,5호선,2560,127.14415,37.493105,신정네거리,쌍문,돌곶이
건대입구,2호선/7호선,212/2729,127.070101,37.540579,홍대입구,합정,상수
경복궁(정부서울청사),3호선,317,126.97353,37.575762,안국,광화문(세종문화회관),이촌(국립중앙박물관)
경찰병원,3호선,341,127.12454,37.495918,마천,산성,면목
고덕,5호선,2553,127.154151,37.555004,연신내,하계,오목교(목동운동장앞)
고려대(종암),6호선,2641,127.036296,37.590508,독립문,어린이대공원(세종대),보문
고속터미널,3호선/7호선,329/2736,127.004992,37.504129,을지로입구,종로5가,신용산
공덕,5호선/6호선,2530/2627,126.951525,37.543993,신설동,충정로(경기대입구),서대문
공릉(서울과학기술대),7호선,2718,127.072896,37.625742,낙성대(강감찬),중계,우장산
광나루(장신대),5호선,2547,127.10357,37.545303,아차산(어린이대공원후문),올림픽공원(한국체대),마장
광명사거리,7호선,2750,126.854876,37.479252,철산,길음,봉천
광화문(세종문화회관),5호선,2534,126.97717,37.571525,삼성(무역센터),경복궁(정부서울청사),종각
광흥창(서강),6호선,2625,126.931993,37.547456,양평,충정로(경기대입구),공덕
교대(법원.검찰청),2호선/3호선,223/330,127.014227,37.493493,종로5가,강남구청,학동
구로디지털단지,2호선,232,126.901401,37.485266,송정,신길,마포
구산,6호선,2616,126.91727,37.611377,연신내,우장산,낙성대(강감찬)
구의(광진구청),2호선,213,127.085916,37.537077,신대방,수유(강북구청),녹번
구파발,3호선,310,126.918821,37.636763,하계,창동,하남검단산
군자(능동),5호선/7호선,2545/2727,127.079458,37.556992,답십리,구의(광진구청),잠실새내
굽은다리(강동구민회관앞),5호선,2551,127.142853,37.545477,둔촌동,상봉,홍제
금호,3호선,324,127.015872,37.548034,무악재,신대방,홍제
길동,5호선,2550,127.140004,37.537801,까치산,면목,송정
길음,4호선,417,127.025053,37.603407,까치산,녹번,신정네거리
김포공항,5호선,2513,126.801292,37.562384,광화문(세종문화회관),종로5가,망원
까치산,5호선,2519,126.846683,37.531768,응암,쌍문,화곡
낙성대(강감찬),2호선,227,126.963693,37.47693,신정(은행정),신림,봉천
남구로,7호선,2747,126.887249,37.486056,대림(구로구청),청구,마포
남부터미널(예술의전당),3호선,331,127.016189,37.485013,역삼,종각,을지로3가
남성,7호선,2739,126.971251,37.484596,응암,화곡,암사
남위례,8호선,2828,127.13977,37.4624,방화,수진,모란
남태령,4호선,434,126.989134,37.463873,충정로(경기대입구),공덕,창신
남한산성입구(성남법원.검찰청),8호선,2823,127.159816,37.451535,산성,강일,단대오거리
내방,7호선,2737,126.993513,37.487618,선릉,청담,학동
노원,4호선/7호선,411/2715,127.061869,37.655553,성신여대입구(돈암),발산,천호(풍납토성)
녹번,3호선,313,126.935756,37.600927,까치산,쌍문,홍제
녹사평(용산구청),6호선,2630,126.986695,37.534675,동대문역사문화공원(DDP),여의나루,명동
