역명,주말구분,전체이용객수,피크시간대,피크시간대_이용객수,피크집중도,시간대별_평균,시간대별_표준편차,안정도
가락시장,전체,12574329.0,18-19시간대,1285961.0,0.102269,628716.450000,312913.955443,0.502297
가락시장,평일,10177639.0,08-09시간대,1162308.0,0.114202,508881.950000,279573.219638,0.450613
가락시장,주말,2396690.0,16-17시간대,194152.0,0.081008,119834.500000,56703.512892,0.526818
가산디지털단지,전체,27779890.0,08-09시간대,4780995.0,0.172103,1388994.500000,1254203.675482,0.097042
가산디지털단지,평일,25163942.0,08-09시간대,4675722.0,0.185810,1258197.100000,1236528.305274,0.017222
가산디지털단지,주말,2615948.0,16-17시간대,227830.0,0.087093,130797.400000,69688.479619,0.467203
강남,전체,55564369.0,18-19시간대,6012346.0,0.108205,2778218.450000,1461434.667981,0.473967
강남,평일,45205827.0,18-19시간대,5262311.0,0.116408,2260291.350000,1297371.879743,0.426016
강남,주말,10358542.0,17-18시간대,913873.0,0.088224,517927.100000,273604.372690,0.471732
강남구청,전체,11529456.0,08-09시간대,1350157.0,0.117105,576472.800000,367278.888630,0.362886
강남구청,평일,9661056.0,08-09시간대,1270672.0,0.131525,483052.800000,343184.392056,0.289551
강남구청,주말,1868400.0,16-17시간대,147558.0,0.078976,93420.000000,46600.022473,0.501177
강동,전체,13046942.0,08-09시간대,1474001.0,0.112977,652347.100000,334501.241571,0.487234
강동,평일,10459373.0,08-09시간대,1350686.0,0.129136,522968.650000,310023.773009,0.407185
강동,주말,2587569.0,13-14시간대,202940.0,0.078429,129378.450000,57155.523903,0.558230
강동구청,전체,7461526.0,08-09시간대,869569.0,0.116540,373076.300000,203745.926854,0.453876
강동구청,평일,6141450.0,08-09시간대,805183.0,0.131106,307072.500000,188574.398715,0.385896
강동구청,주말,1320076.0,16-17시간대,101905.0,0.077196,66003.800000,30492.585805,0.538018
강변(동서울터미널),전체,19279430.0,18-19시간대,1758013.0,0.091186,963971.500000,454166.024701,0.528859
강변(동서울터미널),평일,14208740.0,08-09시간대,1446662.0,0.101815,710437.000000,360904.695300,0.491996
강변(동서울터미널),주말,5070690.0,17-18시간대,409256.0,0.080710,253534.500000,130330.211153,0.485947
강일,전체,4148380.0,07-08시간대,422075.0,0.101745,207419.000000,102556.069174,0.505561
강일,평일,3340212.0,07-08시간대,391978.0,0.117351,167010.600000,94894.348816,0.431806
강일,주말,808168.0,17-18시간대,58751.0,0.072697,40408.400000,17568.913203,0.565216
개롱,전체,4728554.0,08-09시간대,469323.0,0.099253,236427.700000,114288.380937,0.516603
개롱,평일,3815380.0,08-09시간대,419110.0,0.109848,190769.000000,102796.855474,0.461145
개롱,주말,913174.0,13-14시간대,71064.0,0.077821,45658.700000,20699.717807,0.546642
개화산,전체,4212157.0,08-09시간대,454434.0,0.107886,210607.850000,103833.890391,0.506980
개화산,평일,3391638.0,08-09시간대,411820.0,0.121422,169581.900000,95862.974448,0.434710
개화산,주말,820519.0,17-18시간대,59197.0,0.072146,41025.950000,16623.634207,0.594802
거여,전체,6958645.0,08-09시간대,735909.0,0.105755,347932.250000,179146.804145,0.485110
거여,평일,5689088.0,08-09시간대,664836.0,0.116862,284454.400000,167247.494925,0.412041
거여,주말,1269557.0,16-17시간대,94268.0,0.074253,63477.850000,26558.726167,0.581606
건대입구,전체,37799475.0,18-19시간대,3810241.0,0.100801,1889973.750000,864018.279699,0.542841
건대입구,평일,28154427.0,18-19시간대,3042670.0,0.108071,1407721.350000,675038.914795,0.520474
